rc_number,location,fir_date,pdf_url
RC0032026A0056,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDIyNTg1Nzc2UkMwMDMyMDI2QTAwNTYucGRm
RC0362026A0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTA4NTAzMDM1MVJDMDM2MjAyNkEwMDE1LnBkZg==
RC0032026A0055,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI3NDcwNjA0NFJDMDAzMjAyNkEwMDU1LnBkZg==
RC0362026A0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjgzOTk2MTg4UkMwMzYyMDI2QTAwMTQucGRm
RC0042026A0010,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTY2NTA2MjUwUkMwMDQyMDI2QTAwMTAucGRm
RC0032026A0054,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTczOTU1NDdSQzAwMzIwMjZBMDA1NC5wZGY=
RC1242026S0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQ2NjE4NzAxUkMxMjQyMDI2UzAwMDcucGRm
RC1242026A0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjEwMjExMzkzUkMxMjQyMDI2QTAwMDYucGRm
RC0732026E0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTM0NjAzMDUzOVJDMDczMjAyNkUwMDE0IC0gRklSLW91dHB1dC5wZGY=
RC0302026A0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNzEyNzk0OTIyRklSIFJDIDEyLTIwMjYucGRm
RC0302026A0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTY0MzUxNTUwNEZJUiBSQyAxMS0yMDI2LnBkZg==
RC0172026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTMwNzU2OTM4RklSIGluIFJDMDE3MjAyNkEwMDA4LnBkZg==
RC0032026A0053,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjkyMDk5NDlSQzAwMzIwMjZBMDA1My5wZGY=
RC0282026A0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjE1MTA0NzQ1RklSIFJDMDI4MjA2QTAwMDcucGRm
RC0232026S0016,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjAzODk4OTQ5UkMxNlMyMDI2LnBkZg==
RC0062026A0025,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTg2NzEzNTgwOVJDMDA2MjAyNkEwMDI1LnBkZg==
RC0682026E0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTU0MjE5MTMxNlJDMDY4MjAyNkUwMDA5LnBkZg==
RC0362026A0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTEzNjI2MTg4MVJDMDM2MjAyNkEwMDEzLnBkZg==
RC0062026A0024,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTE2NzQ3MzUyNVJDMDA2MjAyNkEwMDI0LnBkZg==
RC1222026A0010,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMzk0MjMzNDY2VXBsb2FkIEZJUiBSQzEyMjIwMjZBMDAxMC5wZGY=
RC0582026S0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjQwNDgxNDAzUkM5UzIwMjYgU2lnbiA0IFBhZ2UucGRm
RC0362026A0012,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvODIxODExMzk3UkMwMzYyMDI2QTAwMTIucGRm
RC0362026A0011,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvODIzMDA3MzY1UkMwMzYyMDI2QTAwMTEucGRm
RC0292026A0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDEzNDYwMzAyUkMwMjkyMDI2QTAwMDUucGRm
RC0692026E0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTM3NDgxMTIzMkZJUiBJTiBSQzA3RTIwMjYucGRm
RC0692026E0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNjYzMDU5NTU0RklSIElOIFJDMDZFMjAyNi5wZGY=
RC0692026E0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQ1MDcyMTg1NEZJUiBJTiBSQzA1RTIwMjYucGRm
RC0692026E0004,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTE4NjIzNDYzMUZJUiBJTiBSQzA0RTIwMjYgKDIpLnBkZg==
RC0602026S0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMzE5MjU3MTc0RklSIFJDMDYwMjAyNlMwMDA5LS5wZGY=
RC0962026S0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTY0Mjg1NTE1N1JDMDk2MjAyNlMwMDA5LnBkZg==
RC0682026E0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQ1NDUxNDE5MVJDMDY4MjAyNkUwMDA4LnBkZg==
RC0052026A0020,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMzgwMjYwODE0UkMwMDUyMDI2QTAwMjAucGRm
RC0052026A0019,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTY2MDgzNTZSQzAwNTIwMjZBMDAxOS5wZGY=
RC0742026E0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMzU2NjY2NjRSQzA3NDIwMjZFMDAwNi5wZGY=
RC0742026E0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTIzNzA5MDYzOEZJUi0wNS0yMDI2LnBkZg==
RC0032026A0052,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTMwNzM3NDgwN1JDMDAzMjAyNkEwMDUyLnBkZg==
RC0032026A0051,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTQ3NjQxOTNSQzAwMzIwMjZBMDA1MS5wZGY=
RC0352026A0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTUzMDI2Mzc0NkZJUjAwMSAoNikucGRm
RC0172026A0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTc1ODE3MDQ3OEZJUiBpbiBSQzAxNzIwMjZBMDAwNy5wZGY=
RC0062026A0023,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDgzOTU2NzQ4UkMwMDYyMDI2QTAwMjMucGRm
RC0042026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTAxMTI2NjIyOFJDMDA0MjAyNkEwMDA5LnBkZg==
RC0032026A0050,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTA5MTA4NTQ1NlJDMDAzMjAyNkEwMDUwLnBkZg==
RC0032026A0049,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvOTE3Njk5MTE3UkMwMDMyMDI2QTAwNDkucGRm
RC0312026A0008,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjExODY3MDIyMEZJUiBSQzAzMTIwMjZBMDAwOC5wZGY=
RC0232026A0015,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTIzMjc3NTk0NFJDMTVBMjAyNiBOZXcucGRm
RC0082026A0014,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTM3Nzg5MzkzNFJDMTRBMjAyNi5wZGY=
RC0032026A0048,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTk1ODIzNzM5M1JDMDAzMjAyNkEwMDQ4LnBkZg==
RC0242026A0009,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQxODYwMTA2MUZJUiBSQzAyNDIwMjZBMDAwOS5wZGY=
RC0032026A0047,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjcyNTA5NjEzUkMwMDMyMDI2QTAwNDcucGRm
RC0032026A0046,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNTE1MDY4MzM3UkMwMDMyMDI2QTAwNDYucGRm
RC0032026A0045,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTI3ODE0MzcyMFJDMDAzMjAyNkEwMDQ1LnBkZg==
RC0032026A0044,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTQwNDU3OTE4UkMwMDMyMDI2QTAwNDQucGRm
RC0212026A0006,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMzAzODk3NDU3Q0NPXzIwMjYwNzI0XzE5MzczNF8wMDAxLnBkZg==
RC0102026A0005,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMTYzMzk3NDQ5OEZJUiAyNSA3IDI2LnBkZg==
RC0082026A0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvODU0NDE4NDQ5UkMgMTMgMjYucGRm
RC0052026A0018,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvMjA4ODU5NDUzN1JDMDA1MjAyNkEwMDE4LnBkZg==
RC2172026A0007,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDQxMzY2Nzk2UkMyMTcyMDI2QTAwMDdfRklSLnBkZg==
RC0062026A0022,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNzA0MjY1ODQwUkMwMDYyMDI2QTAwMjIucGRm
RC0032026A0043,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDA0ODA4NjE5UkMwMDMyMDI2QTAwNDMucGRm
RC2182026A0013,,,https://cbi.gov.in/download/L2Fzc2V0cy9maWxlcy9maXIvNDgyNTQxODg1UkMyMTgyMDI2QTAwMTMucGRm
